# requested_mean_frequency_hz,96
# realised_mean_frequency_hz,96
# spike_count,96
# total_time_s,1
# pulse_height_v,1.8
# pulse_width_s,0.0001
time_s,voltage_v
0.000000000000e+00,0.000000000000e+00
1.709265012063e-02,0.000000000000e+00
1.709266012063e-02,1.800000000000e+00
1.719265012063e-02,1.800000000000e+00
1.719266012063e-02,0.000000000000e+00
3.873605417648e-02,0.000000000000e+00
3.873606417648e-02,1.800000000000e+00
3.883605417648e-02,1.800000000000e+00
3.883606417648e-02,0.000000000000e+00
4.070345302557e-02,0.000000000000e+00
4.070346302557e-02,1.800000000000e+00
4.080345302557e-02,1.800000000000e+00
4.080346302557e-02,0.000000000000e+00
4.316072795157e-02,0.000000000000e+00
4.316073795157e-02,1.800000000000e+00
4.326072795157e-02,1.800000000000e+00
4.326073795157e-02,0.000000000000e+00
4.519387713932e-02,0.000000000000e+00
4.519388713932e-02,1.800000000000e+00
4.529387713932e-02,1.800000000000e+00
4.529388713932e-02,0.000000000000e+00
5.164009281073e-02,0.000000000000e+00
5.164010281073e-02,1.800000000000e+00
5.174009281073e-02,1.800000000000e+00
5.174010281073e-02,0.000000000000e+00
5.822348773069e-02,0.000000000000e+00
5.822349773069e-02,1.800000000000e+00
5.832348773069e-02,1.800000000000e+00
5.832349773069e-02,0.000000000000e+00
6.648216520258e-02,0.000000000000e+00
6.648217520258e-02,1.800000000000e+00
6.658216520258e-02,1.800000000000e+00
6.658217520258e-02,0.000000000000e+00
7.183377915516e-02,0.000000000000e+00
7.183378915516e-02,1.800000000000e+00
7.193377915516e-02,1.800000000000e+00
7.193378915516e-02,0.000000000000e+00
1.232154333128e-01,0.000000000000e+00
1.232154433128e-01,1.800000000000e+00
1.233154333128e-01,1.800000000000e+00
1.233154433128e-01,0.000000000000e+00
1.433031498589e-01,0.000000000000e+00
1.433031598589e-01,1.800000000000e+00
1.434031498589e-01,1.800000000000e+00
1.434031598589e-01,0.000000000000e+00
1.472686881479e-01,0.000000000000e+00
1.472686981479e-01,1.800000000000e+00
1.473686881479e-01,1.800000000000e+00
1.473686981479e-01,0.000000000000e+00
1.489519897842e-01,0.000000000000e+00
1.489519997842e-01,1.800000000000e+00
1.490519897842e-01,1.800000000000e+00
1.490519997842e-01,0.000000000000e+00
2.035391687853e-01,0.000000000000e+00
2.035391787853e-01,1.800000000000e+00
2.036391687853e-01,1.800000000000e+00
2.036391787853e-01,0.000000000000e+00
2.051203138378e-01,0.000000000000e+00
2.051203238378e-01,1.800000000000e+00
2.052203138378e-01,1.800000000000e+00
2.052203238378e-01,0.000000000000e+00
2.153208343216e-01,0.000000000000e+00
2.153208443216e-01,1.800000000000e+00
2.154208343216e-01,1.800000000000e+00
2.154208443216e-01,0.000000000000e+00
2.247309332989e-01,0.000000000000e+00
2.247309432989e-01,1.800000000000e+00
2.248309332989e-01,1.800000000000e+00
2.248309432989e-01,0.000000000000e+00
2.251034007767e-01,0.000000000000e+00
2.251034107767e-01,1.800000000000e+00
2.252034007767e-01,1.800000000000e+00
2.252034107767e-01,0.000000000000e+00
2.270381784352e-01,0.000000000000e+00
2.270381884352e-01,1.800000000000e+00
2.271381784352e-01,1.800000000000e+00
2.271381884352e-01,0.000000000000e+00
2.282992988103e-01,0.000000000000e+00
2.282993088103e-01,1.800000000000e+00
2.283992988103e-01,1.800000000000e+00
2.283993088103e-01,0.000000000000e+00
2.393363612018e-01,0.000000000000e+00
2.393363712018e-01,1.800000000000e+00
2.394363612018e-01,1.800000000000e+00
2.394363712018e-01,0.000000000000e+00
2.419163299693e-01,0.000000000000e+00
2.419163399693e-01,1.800000000000e+00
2.420163299693e-01,1.800000000000e+00
2.420163399693e-01,0.000000000000e+00
2.549585901811e-01,0.000000000000e+00
2.549586001811e-01,1.800000000000e+00
2.550585901811e-01,1.800000000000e+00
2.550586001811e-01,0.000000000000e+00
2.597980527216e-01,0.000000000000e+00
2.597980627216e-01,1.800000000000e+00
2.598980527216e-01,1.800000000000e+00
2.598980627216e-01,0.000000000000e+00
2.894654878945e-01,0.000000000000e+00
2.894654978945e-01,1.800000000000e+00
2.895654878945e-01,1.800000000000e+00
2.895654978945e-01,0.000000000000e+00
2.903177529326e-01,0.000000000000e+00
2.903177629326e-01,1.800000000000e+00
2.904177529326e-01,1.800000000000e+00
2.904177629326e-01,0.000000000000e+00
2.934544201213e-01,0.000000000000e+00
2.934544301213e-01,1.800000000000e+00
2.935544201213e-01,1.800000000000e+00
2.935544301213e-01,0.000000000000e+00
2.967302118313e-01,0.000000000000e+00
2.967302218313e-01,1.800000000000e+00
2.968302118313e-01,1.800000000000e+00
2.968302218313e-01,0.000000000000e+00
3.337236356770e-01,0.000000000000e+00
3.337236456770e-01,1.800000000000e+00
3.338236356770e-01,1.800000000000e+00
3.338236456770e-01,0.000000000000e+00
3.377133456640e-01,0.000000000000e+00
3.377133556640e-01,1.800000000000e+00
3.378133456640e-01,1.800000000000e+00
3.378133556640e-01,0.000000000000e+00
3.399094021767e-01,0.000000000000e+00
3.399094121767e-01,1.800000000000e+00
3.400094021767e-01,1.800000000000e+00
3.400094121767e-01,0.000000000000e+00
3.423390805695e-01,0.000000000000e+00
3.423390905695e-01,1.800000000000e+00
3.424390805695e-01,1.800000000000e+00
3.424390905695e-01,0.000000000000e+00
3.492831014013e-01,0.000000000000e+00
3.492831114013e-01,1.800000000000e+00
3.493831014013e-01,1.800000000000e+00
3.493831114013e-01,0.000000000000e+00
3.785486283364e-01,0.000000000000e+00
3.785486383364e-01,1.800000000000e+00
3.786486283364e-01,1.800000000000e+00
3.786486383364e-01,0.000000000000e+00
3.852652524419e-01,0.000000000000e+00
3.852652624419e-01,1.800000000000e+00
3.853652524419e-01,1.800000000000e+00
3.853652624419e-01,0.000000000000e+00
3.868862402109e-01,0.000000000000e+00
3.868862502109e-01,1.800000000000e+00
3.869862402109e-01,1.800000000000e+00
3.869862502109e-01,0.000000000000e+00
3.911883196504e-01,0.000000000000e+00
3.911883296504e-01,1.800000000000e+00
3.912883196504e-01,1.800000000000e+00
3.912883296504e-01,0.000000000000e+00
4.430004621787e-01,0.000000000000e+00
4.430004721787e-01,1.800000000000e+00
4.431004621787e-01,1.800000000000e+00
4.431004721787e-01,0.000000000000e+00
4.525451896805e-01,0.000000000000e+00
4.525451996805e-01,1.800000000000e+00
