prior_s,vpre_0_frequency_hz,vpre_1_frequency_hz,gap_less_than_prior
5.000000000000e-06,0,960,1
3.000000000000e-06,0,960,1
2.000000000000e-06,0,960,1
2.500000000000e-05,0,980,1
1.000000000000e-05,0,980,1
5.000000000000e-06,0,980,1
3.000000000000e-06,0,980,1
2.000000000000e-06,0,980,1
2.500000000000e-05,0,1000,1
1.000000000000e-05,0,1000,1
5.000000000000e-06,0,1000,1
3.000000000000e-06,0,1000,1
2.000000000000e-06,0,1000,1
2.500000000000e-05,20,0,0
1.000000000000e-05,20,0,0
5.000000000000e-06,20,0,0
3.000000000000e-06,20,0,0
2.000000000000e-06,20,0,0
2.500000000000e-05,20,20,0
1.000000000000e-05,20,20,0
5.000000000000e-06,20,20,0
3.000000000000e-06,20,20,0
2.000000000000e-06,20,20,0
2.500000000000e-05,20,40,1
1.000000000000e-05,20,40,0
5.000000000000e-06,20,40,0
3.000000000000e-06,20,40,0
2.000000000000e-06,20,40,0
2.500000000000e-05,20,60,1
1.000000000000e-05,20,60,1
5.000000000000e-06,20,60,0
3.000000000000e-06,20,60,0
2.000000000000e-06,20,60,0
2.500000000000e-05,20,80,1
1.000000000000e-05,20,80,1
5.000000000000e-06,20,80,0
3.000000000000e-06,20,80,0
2.000000000000e-06,20,80,0
2.500000000000e-05,20,100,1
1.000000000000e-05,20,100,1
5.000000000000e-06,20,100,1
3.000000000000e-06,20,100,0
2.000000000000e-06,20,100,0
2.500000000000e-05,20,120,1
1.000000000000e-05,20,120,1
5.000000000000e-06,20,120,1
3.000000000000e-06,20,120,0
2.000000000000e-06,20,120,0
2.500000000000e-05,20,140,1
1.000000000000e-05,20,140,1
5.000000000000e-06,20,140,1
3.000000000000e-06,20,140,1
2.000000000000e-06,20,140,0
2.500000000000e-05,20,160,1
1.000000000000e-05,20,160,1
5.000000000000e-06,20,160,1
3.000000000000e-06,20,160,1
2.000000000000e-06,20,160,0
2.500000000000e-05,20,180,1
1.000000000000e-05,20,180,1
5.000000000000e-06,20,180,1
3.000000000000e-06,20,180,1
2.000000000000e-06,20,180,1
2.500000000000e-05,20,200,1
1.000000000000e-05,20,200,1
5.000000000000e-06,20,200,1
3.000000000000e-06,20,200,1
2.000000000000e-06,20,200,1
2.500000000000e-05,20,220,1
1.000000000000e-05,20,220,1
5.000000000000e-06,20,220,1
3.000000000000e-06,20,220,1
2.000000000000e-06,20,220,1
2.500000000000e-05,20,240,1
1.000000000000e-05,20,240,1
5.000000000000e-06,20,240,1
3.000000000000e-06,20,240,1
2.000000000000e-06,20,240,1
2.500000000000e-05,20,260,1
1.000000000000e-05,20,260,1
5.000000000000e-06,20,260,1
3.000000000000e-06,20,260,1
2.000000000000e-06,20,260,1
2.500000000000e-05,20,280,1
